ID_ALUNO,NU_ANO_CENSO,NO_CURSO,CO_ALUNO_CURSO,CO_ALUNO_CURSO_ORIGEM,TP_SEXO,NU_IDADE
B05AD0C9DC1A1A019F214561E503FD54,2019,ADMINISTRAÇÃO,41007013,"",1,28
24A02E806FE6060F460DCE38632ACD20,2019,ADMINISTRAÇÃO,40744037,"",2,39
84130285F94234DA19DDD774E11E7B6D,2019,ADMINISTRAÇÃO,41000402,"",2,32
2FDB2E56F3F8FB5DD1E9F9F68B18088E,2019,ADMINISTRAÇÃO,41004824,"",2,31
AE3EDA5B9E8C8769B35F9C4C6127F9AC,2019,ADMINISTRAÇÃO,41046852,"",2,42
2A42E1A7C33D238CC8E9AC547A49BC86,2019,ADMINISTRAÇÃO,40996050,"",2,36
0D2A192865A0AE4EE791951066FF4124,2019,ADMINISTRAÇÃO,41005524,"",2,29
4F21DC68FAECCD58F12A1C6234D89D03,2019,ADMINISTRAÇÃO,40999196,"",1,32
F4E9763C98842B736B681B2185E5E2E2,2019,ADMINISTRAÇÃO,40994426,"",2,43
C75835A17415803820776E71D3555FC4,2019,ADMINISTRAÇÃO,41008137,"",2,30
EBDBDF1E178D4E09944ECDBC4BF623C3,2019,ADMINISTRAÇÃO,40744902,"",2,28
4B1CBD68A3440344D7B5AAB0049F7E7F,2019,ADMINISTRAÇÃO,41006801,"",1,29
04712BCFCEEFD52EAD3951CC1DF9E92E,2019,ADMINISTRAÇÃO,41002062,"",2,26
87EB311446E49F3DBDCC778228292BD4,2019,ADMINISTRAÇÃO,40744932,"",2,29
A96E0633FDCAF89E2EBCF1C0C77D3AF0,2019,ADMINISTRAÇÃO,40995637,"",2,37
E5F763716BB1AB0BCC65DF7922AFEA37,2019,ADMINISTRAÇÃO,41001967,"",2,30
805438DF039DA216EFE44CE48E74668A,2019,ADMINISTRAÇÃO,41001737,"",2,28
A95F4FCCB77C62FAA98D4DBDCF536504,2019,ADMINISTRAÇÃO,41003258,"",2,29
C32791CC9193D8B5A409FCB0D2DF8E7F,2019,ADMINISTRAÇÃO,40745057,"",2,27
A7D5C4CB0F73D07CD8DE468D190C5F96,2019,ADMINISTRAÇÃO,40997956,"",2,31
08A5B737B860D77E9F1E86A9F3B963EB,2019,ADMINISTRAÇÃO,40996525,"",1,35
4962FCA4305C745CA5710356787D220A,2019,ADMINISTRAÇÃO,41002452,"",2,32
85A3161D6733AE24169E3857341E5F93,2019,ADMINISTRAÇÃO,41047093,"",2,41
6A0C7B96AEA0B68A2AFCCB6D2EA39F4E,2019,ADMINISTRAÇÃO,41047184,"",2,37
D48A03E1B8F32605DADC06D0D59CE3E7,2019,ADMINISTRAÇÃO,41013652,"",1,27
CFDB34D084B1493418C10E40F6A23F14,2019,ADMINISTRAÇÃO,41014453,"",1,27
7E633F1316A70B2BDA10889B3A055E42,2019,ADMINISTRAÇÃO,41006777,"",2,27
10CA934264E452752677ECE75EB0247D,2019,ADMINISTRAÇÃO,41010598,"",2,26
995B7B068AA71166C75DF54632132125,2019,ADMINISTRAÇÃO,40997855,"",2,29
3BC335EFB1372F1EA8DEF45CE33D6536,2019,ADMINISTRAÇÃO,41012475,"",2,27
EA3D44B7D08A9E8F5D25458C16493623,2019,ADMINISTRAÇÃO,41011699,"",1,28
C8A9CAFD95FA9865F05A9EED4043F54E,2019,ADMINISTRAÇÃO,41007822,"",2,29
14D534FA672C8040338E519E39C49CDC,2019,ADMINISTRAÇÃO,40745135,"",2,27
9FBDB6C7A676773F8F8A4198164EAC70,2019,ADMINISTRAÇÃO,41003108,"",1,30
4285C70B35C207F6CAF7770314A61D60,2019,ADMINISTRAÇÃO,40995234,"",1,37
3CBE977CB80984A71A15A865DB0FD4DC,2019,ADMINISTRAÇÃO,41000591,"",2,32
4082C682FD3020B85EB2FA3362C150C2,2019,ADMINISTRAÇÃO,40997276,"",2,28
BED65A667CA0E5AD86B14EF12E27FD70,2019,ADMINISTRAÇÃO,41008202,"",2,27
A783FBB2AA2B8C46A32A6D182CF0B3F2,2019,ADMINISTRAÇÃO,40743930,"",2,41
5418E5BE575D31B0E66D0FE08207FBC9,2019,ADMINISTRAÇÃO,41000573,"",2,31
05D2C777D8BD1ED149680458C130C10A,2019,ADMINISTRAÇÃO,40998841,"",2,26
5849FF3EFEBAEDD5109F457A3CB8FB60,2019,ADMINISTRAÇÃO,40994787,"",2,39
98DB794188BA5545E5348815C5847D01,2019,ADMINISTRAÇÃO,41004182,"",1,29
A30924BFC785F1661E7E451737FA5CDE,2019,ADMINISTRAÇÃO,40993325,"",2,43
F6E747712A335CB29FCF778D1D093FAE,2019,ADMINISTRAÇÃO,40999798,"",1,30
A3409261BD71BC38E59140E5F2941599,2019,ADMINISTRAÇÃO,41003093,"",2,29
C86C5280187B69648ECED4BA1DDF4E62,2019,ADMINISTRAÇÃO,41002593,"",1,26
0254DC1DF449CEEFC00D86FD6079063B,2019,ADMINISTRAÇÃO,41008573,"",2,27
42FCF29A84D6A4F6453B85930729F18D,2019,ADMINISTRAÇÃO,41011721,"",1,26
247DC98AF7F1A196B4E23CCE86A92504,2019,ADMINISTRAÇÃO,41015714,"",2,25
8E4CBF859EE5DF7D3993AD7A8F74CC6D,2019,ADMINISTRAÇÃO,41012427,"",1,27
594D9F03CD3FA74A1D030321808E8D24,2019,ADMINISTRAÇÃO,41010740,"",2,29
583C8071CE8BFD85C2C83BA2DDA8AF78,2019,ADMINISTRAÇÃO,41011553,"",1,26
0057EF205DD58FB24D6AE80FBEC0ACF9,2019,ADMINISTRAÇÃO,41000424,"",2,31
E4F0E9A06E00C09DE1DE567FA280326B,2019,ADMINISTRAÇÃO,40745319,"",1,26
5D4929189CD2A226DFF3BD2705B999FF,2019,ADMINISTRAÇÃO,41009370,"",1,27
271AA26C4851427860EEF823767CCB30,2019,ADMINISTRAÇÃO,40745300,"",1,26
F528090EF6B4ECB2463DBF6271C8151C,2019,ADMINISTRAÇÃO,40998817,"",2,33
F6BE61214F9035021E01B5EBB17C01E4,2019,ADMINISTRAÇÃO,41009287,"",1,27
41BCC2289168A0CAE5F9881651F83E8F,2019,ADMINISTRAÇÃO,41009372,"",1,26
0E7CE4F912CF0778C750C05BA245531F,2019,ADMINISTRAÇÃO,41010971,"",1,27
A195788B7D618E04C2E193C348094D2A,2019,ADMINISTRAÇÃO,40996938,"",1,26
4A922443E30DBAEB6613CD75309644CB,2019,ADMINISTRAÇÃO,41020322,"",1,26
449A38C8E832E0B1A9786724F84F151B,2019,ADMINISTRAÇÃO,41011972,"",2,27
2612173F987254AA116BBE741BDFB647,2019,ADMINISTRAÇÃO,41000157,"",2,26
DE2B22859316CF6A95A05D3D2FE47D27,2019,ADMINISTRAÇÃO,40744088,"",2,26
DC4E7F3795C7EBECE99D99E8658973B9,2019,ADMINISTRAÇÃO,40996406,"",2,35
7C21CA15F045600D322BFF1527BFEF9A,2019,ADMINISTRAÇÃO,40745483,"",2,26
A12A283654086B23084B5280B75957FE,2019,ADMINISTRAÇÃO,40745559,"",1,26
C12E3C59BDAAF76DC17810A2B42F5503,2019,ADMINISTRAÇÃO,41007364,"",2,30
63D29789BBE79A39629C21F7BED1484D,2019,ADMINISTRAÇÃO,41011591,"",1,27
183FE60D249EFDEFD2344AE6C5224FE0,2019,ADMINISTRAÇÃO,41013813,"",2,30
463E0BA5AE032E0CEBC05B508EE8AE1F,2019,ADMINISTRAÇÃO,40744283,"",1,27
E4DFAC4F16CF9A703791A4601938979F,2019,ADMINISTRAÇÃO,40998474,"",2,33
2A0AD8DDC3C75B03F525B01B24EB9C22,2019,ADMINISTRAÇÃO,40994143,"",2,28
C114216E34ABF1900714204C393A1519,2019,ADMINISTRAÇÃO,41012003,"",1,27
5A03774EBEB7BB00964FD78CC9B968F4,2019,ADMINISTRAÇÃO,42243809,"",2,26
F44E01CA32CB640A29A7C0BD3E25D48B,2019,ADMINISTRAÇÃO,40744553,"",2,29
1E21BF7BAC77672314758622F368237F,2019,ADMINISTRAÇÃO,41005302,"",1,29
C1ED5B158D800062B3C24C5A64634A58,2019,ADMINISTRAÇÃO,40993284,"",2,44
CBB88B22BF1594E6AFD1C3E4555917D8,2019,ADMINISTRAÇÃO,41039288,"",2,62
90ADE9B3A32E840C2F5A6BA5EE1329C2,2019,ADMINISTRAÇÃO,41007506,"",2,26
6CB232390D10EF0CD430152C13CEEF49,2019,ADMINISTRAÇÃO,40999987,"",1,26
A733C5496C6F80238515487B5A3525AB,2019,ADMINISTRAÇÃO,41000751,"",2,32
08D0339961C8794FB0E247C09C3CE32C,2019,ADMINISTRAÇÃO,40745124,"",1,26
2A1D1A58028D7043ABC2D80B3B742766,2019,ADMINISTRAÇÃO,41013412,"",2,28
780F028102A992E2A97F1066C434F9DB,2019,ADMINISTRAÇÃO,41008931,"",2,28
E3D53DAC2EF15961FAF92A008A9EE5C8,2019,ADMINISTRAÇÃO,40744804,"",2,25
33B63DC08C2EFD629B783344D4C1EB55,2019,ADMINISTRAÇÃO,40994795,"",2,38
C365655F20141F136072EE096BCF1E5D,2019,ADMINISTRAÇÃO,41006392,"",2,27
1C926A3C36D4BEADA71C12857BCCFB30,2019,ADMINISTRAÇÃO,40999490,"",2,26
236E295DAC481B72126C7BDE62FF8300,2019,ADMINISTRAÇÃO,41015820,"",1,25
CD8431F993D80C7BEEE56A18D39D9C10,2019,ADMINISTRAÇÃO,41004084,"",1,25
B31D1E72092A2671C2A13A5CDE9BF897,2019,ADMINISTRAÇÃO,41016931,"",2,25
8A7900432FDA5DCAE0688767C32DB9B7,2019,ADMINISTRAÇÃO,40746424,"",1,25
E59BD72E7E288449D8365BF2355A050A,2019,ADMINISTRAÇÃO,40745759,"",1,25
4E5169B688329F6F0B6C99AC7F8FC16D,2019,ADMINISTRAÇÃO,41016873,"",2,25
8D3D1BFD4682E28E3549987E912E7938,2019,ADMINISTRAÇÃO,41012195,"",2,26
CEE2797156F1C568C70E578F5E7746E2,2019,ADMINISTRAÇÃO,41004183,"",2,25
842A54EFA057B73D81D013C4A5F5CD67,2019,ADMINISTRAÇÃO,41008690,"",2,24
4380CBBF4C948C295D5CFD7CA78B7DD8,2019,ADMINISTRAÇÃO,41012912,"",2,25
34ACCB65AAE30D6C1FCC64AE9EF5C2E0,2019,ADMINISTRAÇÃO,41016955,"",2,25
07761811CC24EE80A81926D7F2D484B0,2019,ADMINISTRAÇÃO,41012940,"",2,25
9BF6C7AEAA673CA0E8AB92AB787B7014,2019,ADMINISTRAÇÃO,41014532,"",1,26
A132004B09CE90A0C76F4A7D90B43FBA,2019,ADMINISTRAÇÃO,41016570,"",2,24
7F81D1B4DBB4F4E2AD0485A04D64014C,2019,ADMINISTRAÇÃO,41012313,"",2,26
2E3718B5449F8B2B650DA94EEDEACA51,2019,ADMINISTRAÇÃO,40999446,"",2,25
5104829D6239A076911F0D93D2397870,2019,ADMINISTRAÇÃO,41005893,"",1,26
E43205C363A7345098870D83044B0376,2019,ADMINISTRAÇÃO,41006227,"",2,27
877E72DDD5A9F4BDA28C47D15D75C07F,2019,ADMINISTRAÇÃO,40744832,"",2,26
435BDCB9FDF96CDCB9D4E23C385D2B53,2019,ADMINISTRAÇÃO,41006357,"",2,25
AAA7995C419CD2A9464846D03A96AE74,2019,ADMINISTRAÇÃO,41007189,"",2,25
D8467076C456627F28C3F626C72D51E5,2019,ADMINISTRAÇÃO,41007344,"",2,27
